"height","sex"
75,"m"
70,"m"
68,"m"
71,"m"
66,"m"
67,"m"
65,"f"
65,"f"
67,"f"
65,"m"
70,"m"
72,"m"
72,"m"
66,"f"
62,"f"
65,"f"
70,"m"
64,"f"
71,"m"
72,"m"
67,"f"
67,"f"
69,"m"
71,"m"
73,"m"
70,"m"
72,"m"
67,"m"
74,"m"
68,"m"
64,"f"
72,"m"
67,"f"
60,"f"
69,"m"
69,"m"
69,"m"
69,"m"
63,"f"
74,"m"
76,"m"
72,"m"
75,"m"
71,"m"
66,"f"
69,"m"
73,"m"
70,"m"
67,"f"
66,"f"
66,"f"
65,"f"
69,"m"
69,"m"
69,"m"
70,"m"
71,"m"
72,"m"
70,"m"
71,"m"
67,"m"
75,"m"
70,"m"
67,"f"
72,"m"
68,"m"
65,"m"
66,"f"
69,"f"
76,"m"
62,"f"
67,"f"
73,"m"
61,"f"
72,"m"
67,"f"
72,"m"
65,"f"
67,"f"
71,"m"
67,"f"
69,"m"
69,"m"
64,"f"
73,"m"
68,"m"
66,"f"
61,"f"
71,"m"
64,"f"
74,"m"
74,"m"
67,"f"
69,"m"
67,"m"
78,"m"
75,"m"
70,"m"
66,"f"
72,"m"
71,"m"
68,"m"
69,"m"
70,"m"
63,"f"
65,"f"
64,"f"
72,"m"
64,"f"
66,"m"
68,"m"
71,"m"
74,"m"
66,"f"
70,"m"
72,"m"
68,"m"
67,"m"
65,"f"
66,"f"
71,"m"
75,"m"
66,"m"
70,"m"
62,"f"
68,"m"
73,"m"
68,"m"
71,"m"
66,"m"
69,"m"
68,"f"
68,"f"
68,"f"
68,"m"
67,"f"
75,"m"
73,"m"
67,"m"
73,"m"
62,"f"
73,"m"
73,"m"
74,"m"
63,"f"
67,"m"
70,"m"
66,"m"
64,"f"
67,"f"
63,"f"
68,"m"
68,"m"
75,"m"
73,"m"
61,"f"
62,"f"
68,"f"
69,"f"
63,"f"
62,"f"
66,"f"
66,"m"
66,"f"
72,"m"
74,"m"
72,"m"
63,"f"
68,"f"
66,"f"
66,"f"
70,"m"
73,"m"
63,"f"
69,"m"
66,"m"
68,"m"
72,"m"
68,"f"
71,"m"
69,"m"
66,"f"
68,"f"
70,"m"
74,"m"
63,"f"
66,"f"
60,"f"
67,"f"
